winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_1_lands,seat_0_board_size,seat_1_board_size
0,DeathDescription.LIFETOTAL,10,43.37501525878906,6,5,4,4
0,DeathDescription.LIFETOTAL,10,25.880098342895508,6,4,5,4
1,DeathDescription.LIFETOTAL,13,29.754161834716797,5,6,4,6
1,DeathDescription.LIFETOTAL,11,28.837203979492188,4,4,4,6
1,DeathDescription.LIFETOTAL,13,30.176162719726562,5,5,2,5
1,DeathDescription.LIFETOTAL,11,29.3581485748291,5,2,5,4
1,DeathDescription.LIFETOTAL,11,28.119802474975586,4,6,1,5
0,DeathDescription.LIFETOTAL,12,36.902666091918945,7,6,6,4
0,DeathDescription.LIFETOTAL,12,26.432514190673828,7,5,5,5
0,DeathDescription.LIFETOTAL,10,30.347347259521484,5,3,5,3
1,DeathDescription.LIFETOTAL,13,32.72557258605957,7,5,2,6
0,DeathDescription.LIFETOTAL,10,50.63319206237793,4,5,5,4
0,DeathDescription.LIFETOTAL,10,42.49119758605957,6,4,5,4
0,DeathDescription.LIFETOTAL,10,42.807817459106445,6,5,5,2
0,DeathDescription.LIFETOTAL,10,41.259050369262695,4,4,5,3
0,DeathDescription.LIFETOTAL,10,58.18796157836914,6,2,4,0
1,DeathDescription.LIFETOTAL,13,35.04371643066406,5,7,0,6
1,DeathDescription.LIFETOTAL,11,20.591259002685547,2,4,0,5
0,DeathDescription.LIFETOTAL,10,35.42160987854004,5,5,6,3
1,DeathDescription.LIFETOTAL,15,48.17056655883789,6,8,3,7
0,DeathDescription.LIFETOTAL,10,32.80901908874512,4,5,4,4
0,DeathDescription.LIFETOTAL,10,50.12965202331543,5,4,5,3
0,DeathDescription.LIFETOTAL,10,37.77575492858887,3,5,5,4
1,DeathDescription.LIFETOTAL,11,26.306629180908203,2,3,0,5
1,DeathDescription.LIFETOTAL,13,44.67916488647461,7,6,4,5
1,DeathDescription.LIFETOTAL,13,50.40144920349121,2,7,0,4
0,DeathDescription.LIFETOTAL,10,53.436994552612305,4,4,5,4
1,DeathDescription.LIFETOTAL,11,53.02572250366211,4,3,1,5
0,DeathDescription.LIFETOTAL,10,32.59444236755371,4,5,5,5
0,DeathDescription.LIFETOTAL,10,41.365861892700195,5,5,4,4
0,DeathDescription.LIFETOTAL,10,24.216890335083008,6,4,4,2
1,DeathDescription.LIFETOTAL,11,38.89107704162598,4,5,3,5
1,DeathDescription.LIFETOTAL,11,26.73625946044922,3,6,1,5
0,DeathDescription.LIFETOTAL,12,22.777318954467773,7,6,3,4
0,DeathDescription.LIFETOTAL,12,24.453163146972656,6,6,6,2
0,DeathDescription.LIFETOTAL,10,37.85252571105957,4,5,6,4
0,DeathDescription.LIFETOTAL,10,20.73049545288086,6,5,4,4
0,DeathDescription.LIFETOTAL,10,18.837928771972656,5,5,4,4
1,DeathDescription.LIFETOTAL,11,44.32344436645508,1,4,0,5
1,DeathDescription.LIFETOTAL,13,44.01516914367676,5,7,3,6
0,DeathDescription.LIFETOTAL,10,26.349544525146484,6,5,5,4
0,DeathDescription.LIFETOTAL,10,32.25207328796387,5,5,5,4
0,DeathDescription.LIFETOTAL,10,29.224157333374023,3,5,5,5
0,DeathDescription.LIFETOTAL,10,26.129961013793945,4,5,5,3
1,DeathDescription.LIFETOTAL,11,27.909040451049805,6,6,4,5
0,DeathDescription.LIFETOTAL,10,31.072139739990234,6,5,4,0
1,DeathDescription.LIFETOTAL,11,36.16595268249512,6,6,4,4
1,DeathDescription.LIFETOTAL,11,29.152631759643555,5,5,4,5
