winning_seat,loser_death_description,halfturns_played,milliseconds_passed,seat_0_lands,seat_0_board_size,seat_0_hand_size,seat_1_lands,seat_1_board_size,seat_1_hand_size
0,DeathDescription.LIFETOTAL,10,24.015188217163086,6,5,1,5,4,3
1,DeathDescription.LIFETOTAL,11,42.19508171081543,6,3,3,4,5,4
0,DeathDescription.LIFETOTAL,10,26.66640281677246,6,5,1,5,4,3
0,DeathDescription.LIFETOTAL,10,46.50306701660156,6,5,1,5,3,4
1,DeathDescription.LIFETOTAL,11,22.95064926147461,4,4,4,4,5,4
0,DeathDescription.LIFETOTAL,10,20.94578742980957,4,5,3,5,2,5
0,DeathDescription.LIFETOTAL,10,27.066707611083984,6,6,0,5,4,3
1,DeathDescription.LIFETOTAL,11,50.59623718261719,4,3,5,5,5,3
0,DeathDescription.LIFETOTAL,10,26.885986328125,3,5,4,4,5,3
1,DeathDescription.LIFETOTAL,11,26.808738708496094,3,3,5,4,6,3
0,DeathDescription.LIFETOTAL,10,28.207778930664062,5,5,2,5,4,3
1,DeathDescription.LIFETOTAL,13,37.65988349914551,4,0,7,7,6,1
0,DeathDescription.LIFETOTAL,10,21.294116973876953,6,4,2,5,3,4
1,DeathDescription.LIFETOTAL,11,23.47111701965332,4,0,7,6,4,3
0,DeathDescription.LIFETOTAL,10,27.16207504272461,6,6,0,4,4,4
0,DeathDescription.LIFETOTAL,10,27.444839477539062,3,5,4,5,5,2
1,DeathDescription.LIFETOTAL,11,28.14793586730957,6,2,4,6,6,1
0,DeathDescription.LIFETOTAL,10,25.844335556030273,4,4,4,3,0,7
0,DeathDescription.LIFETOTAL,12,29.101848602294922,6,6,1,6,4,3
0,DeathDescription.LIFETOTAL,12,33.71167182922363,5,4,4,6,5,2
0,DeathDescription.LIFETOTAL,10,43.19357872009277,5,6,1,5,4,3
0,DeathDescription.LIFETOTAL,10,47.334909439086914,4,5,3,5,3,4
0,DeathDescription.LIFETOTAL,12,49.99995231628418,7,5,1,4,0,7
